EVTDESC5556000;Fighting across the field, you see an enemy soldier cut off from the others. While you can't tell who, it's clear that they must be a highborn noble.;Alors que vous vous battez sur le champ de bataille, vous apercevez un soldat ennemi s'extirper des rangs. Si vous n'arrivez pas à voir de qui il s'agit, vous êtes par contre sûr qu'il s'agit d'un noble de haute naissance.;Fighting across the field, you see an enemy soldier cut off from the others. While you can't tell who, it's clear that they must be a highborn noble.;Fighting across the field, you see an enemy soldier cut off from the others. While you can't tell who, it's clear that they must be a highborn noble.;;Fighting across the field, you see an enemy soldier cut off from the others. While you can't tell who, it's clear that they must be a highborn noble.;;;;;;;;x
EVTDESC5556001;You were separated from your men in the chaos of battle, and now find yourself in the midst of war. As you scan the field and try to rejoin your forces, you see [From.GetBestName] break through the enemy ranks and charge you!;Dans le chaos des combats, vous avez été séparé de vos hommes et vous trouvez désormais en plein milieu de la bataille. Alors que vous tentez de rejoindre vos forces, vous apercevez [From.GetBestName] qui se fraye un chemin à travers les rangs ennemis avant de vous charger !;You were separated from your men in the chaos of battle, and now find yourself in the midst of war. As you scan the field and try to rejoin your forces, you see [From.GetBestName] break through the enemy ranks and charge you!;You were separated from your men in the chaos of battle, and now find yourself in the midst of war. As you scan the field and try to rejoin your forces, you see [From.GetBestName] break through the enemy ranks and charge you!;;You were separated from your men in the chaos of battle, and now find yourself in the midst of war. As you scan the field and try to rejoin your forces, you see [From.GetBestName] break through the enemy ranks and charge you!;;;;;;;;x
EVTDESC5556002;As you get closer, you realize the enemy soldier is [From.GetBestName].;En vous rapprochant, vous réalisez que le soldat ennemi n'est autre que [From.GetBestName].;As you get closer, you realize the enemy soldier is [From.GetBestName].;As you get closer, you realize the enemy soldier is [From.GetBestName].;;As you get closer, you realize the enemy soldier is [From.GetBestName].;;;;;;;;x
EVTDESC5556003;As you get closer, you realize the enemy soldier is [From.GetBestName]. Seeing you charge across the field toward [From.GetHerHim], [From.GetSheHe] turns and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;En vous rapprochant, vous réalisez que le soldat est ennemi n'est autre que [From.GetBestName]. Remarquant votre charge à travers le champs de bataille pour l'affronter, [From.GetSheHe] se retourne et fuit. Vous le(a) poursuivez, mais perdez sa trace dans le chaos des combats. ;As you get closer, you realize the enemy soldier is [From.GetBestName]. Seeing you charge across the field toward [From.GetHerHim], [From.GetSheHe] turns and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;As you get closer, you realize the enemy soldier is [From.GetBestName]. Seeing you charge across the field toward [From.GetHerHim], [From.GetSheHe] turns and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;;As you get closer, you realize the enemy soldier is [From.GetBestName]. Seeing you charge across the field toward [From.GetHerHim], [From.GetSheHe] turns and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;;;;;;;;x
EVTDESC5556004;You turn to face [From.GetTitle] [From.GetFirstName]… and [From.GetSheHe] breaks [From.GetHerHis] charge and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;Vous vous retournez pour faire face à [From.GetTitle] [From.GetFirstName] lorsqu' [From.GetSheHe] stoppe sa charge et s'enfuit. Vous le(a) poursuivez, mais perdez sa trace dans le chaos des combats.;You turn to face [From.GetTitle] [From.GetFirstName]… and [From.GetSheHe] breaks [From.GetHerHis] charge and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;You turn to face [From.GetTitle] [From.GetFirstName]… and [From.GetSheHe] breaks [From.GetHerHis] charge and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;;You turn to face [From.GetTitle] [From.GetFirstName]… and [From.GetSheHe] breaks [From.GetHerHis] charge and flees. You pursue, but lose track of [From.GetHerHim] in the chaos.;;;;;;;;x
EVTDESC5556100;As [FromFrom.GetBestName] falls before you, [FromFrom.GetHerHis] soldiers look on and begin to lose hope.;Alors que vous venez de défaire [FromFrom.GetBestName], ses soldats commence à douter et à perdre espoir.;As [FromFrom.GetBestName] falls before you, [FromFrom.GetHerHis] soldiers look on and begin to lose hope.;As [FromFrom.GetBestName] falls before you, [FromFrom.GetHerHis] soldiers look on and begin to lose hope.;;As [FromFrom.GetBestName] falls before you, [FromFrom.GetHerHis] soldiers look on and begin to lose hope.;;;;;;;;x
EVTDESC5556101;[FromFrom.GetBestName] lies helpless at your feet, [FromFrom.GetHerHis] weapon discarded and yours at [FromFrom.GetHerHis] throat.;[FromFrom.GetBestName] est étendu impuissant à vos pieds, son arme brisée et la votre à sa gorge. ;[FromFrom.GetBestName] lies helpless at your feet, [FromFrom.GetHerHis] weapon discarded and yours at [FromFrom.GetHerHis] throat.;[FromFrom.GetBestName] lies helpless at your feet, [FromFrom.GetHerHis] weapon discarded and yours at [FromFrom.GetHerHis] throat.;;[FromFrom.GetBestName] lies helpless at your feet, [FromFrom.GetHerHis] weapon discarded and yours at [FromFrom.GetHerHis] throat.;;;;;;;;x
EVTDESC5556102;You are defeated. [From.GetBestName] takes you prisoner.;Vous êtes défait. [From.GetBestName] vous garde prisonnier.;You are defeated. [From.GetBestName] takes you prisoner.;You are defeated. [From.GetBestName] takes you prisoner.;;You are defeated. [From.GetBestName] takes you prisoner.;;;;;;;;x
EVTDESCDUEL105;You easily break through [FromFrom.GetBestName]'s guard and knock [FromFrom.GetHerHim] to the ground. [FromFrom.GetSheHeCap] lies sprawled at your feet, completely at your mercy.;Vous brisez facilement la garde de [FromFrom.GetBestName] et le mettez à terre. [FromFrom.GetSheHeCap] est à vos pieds, complètement à votre merci.;You easily break through [FromFrom.GetBestName]'s guard and knock [FromFrom.GetHerHim] to the ground. [FromFrom.GetSheHeCap] lies sprawled at your feet, completely at your mercy.;You easily break through [FromFrom.GetBestName]'s guard and knock [FromFrom.GetHerHim] to the ground. [FromFrom.GetSheHeCap] lies sprawled at your feet, completely at your mercy.;;You easily break through [FromFrom.GetBestName]'s guard and knock [FromFrom.GetHerHim] to the ground. [FromFrom.GetSheHeCap] lies sprawled at your feet, completely at your mercy.;;;;;;;;x
EVTDESCDUEL106;[From.GetBestName] overwhelms your defense and, with a mighty blow, sends you sprawling to the ground. You look up at [From.GetHerHim] towering above you, ready to deliver the finishing blow…;[From.GetBestName] déborde votre défense et, d'un coup puissant, vous projette à terre. Vous levez les yeux vers lui. Sa silhouette imposante se dresse au dessus de vous, prête à vous donner le coup de grâce…;[From.GetBestName] overwhelms your defense and, with a mighty blow, sends you sprawling to the ground. You look up at [From.GetHerHim] towering above you, ready to deliver the finishing blow…;[From.GetBestName] overwhelms your defense and, with a mighty blow, sends you sprawling to the ground. You look up at [From.GetHerHim] towering above you, ready to deliver the finishing blow…;;[From.GetBestName] overwhelms your defense and, with a mighty blow, sends you sprawling to the ground. You look up at [From.GetHerHim] towering above you, ready to deliver the finishing blow…;;;;;;;;x
EVTDESCDUEL107;[From.GetBestName] drops [From.GetHerHis] weapon and throws up [From.GetHerHis] hands. "Yield! I yield!";[From.GetBestName] lâche son arme et lève ses mains. "Je me rends! Je me rends!";[From.GetBestName] drops [From.GetHerHis] weapon and throws up [From.GetHerHis] hands. "Yield! I yield!";[From.GetBestName] drops [From.GetHerHis] weapon and throws up [From.GetHerHis] hands. "Yield! I yield!";;[From.GetBestName] drops [From.GetHerHis] weapon and throws up [From.GetHerHis] hands. "Yield! I yield!";;;;;;;;x
EVTDESCDUEL108;[From.GetFirstName] lowers the point of [From.GetHerHis] weapon and extends a hand. "I accept," [From.GetSheHe] says, "back on your feet.";[From.GetFirstName] abaisse son arme et tend sa main. "J'accepte", dit-[From.GetSheHe], "Relève toi". ;[From.GetFirstName] lowers the point of [From.GetHerHis] weapon and extends a hand. "I accept," [From.GetSheHe] says, "back on your feet.";[From.GetFirstName] lowers the point of [From.GetHerHis] weapon and extends a hand. "I accept," [From.GetSheHe] says, "back on your feet.";;[From.GetFirstName] lowers the point of [From.GetHerHis] weapon and extends a hand. "I accept," [From.GetSheHe] says, "back on your feet.";;;;;;;;x
EVTDESCDUEL109;[From.GetFirstName] looks down at you without a hint of emotion on [From.GetHerHis] face./n"No."/nAll goes dark.;[From.GetFirstName] vous regarde de haut sans la moindre émotion sur son visage.\n"La mort pour seule récompense !"\nTout devient noir.;[From.GetFirstName] looks down at you without a hint of emotion on [From.GetHerHis] face./n"No."/nAll goes dark.;[From.GetFirstName] looks down at you without a hint of emotion on [From.GetHerHis] face./n"No."/nAll goes dark.;;[From.GetFirstName] looks down at you without a hint of emotion on [From.GetHerHis] face./n"No."/nAll goes dark.;;;;;;;;x
EVTDESCDUEL10;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;;You and [FromFrom.GetBestName] recover from the furious fight, and are ready for another round. You scan [FromFrom.GetHerHim] to see if [FromFrom.GetSheHe] is getting tired yet.;;;;;;;;x
EVTDESCDUEL110;[FromFrom.GetBestName] strikes, but you roll to dodge just in time, taking no more than a flesh wound. You force yourself back to your feet and hold your weapon ready.;[FromFrom.GetBestName] frappe, mais vous roulez juste à temps pour esquiver le coup et ne recevez qu'une très légère blessure. Vous vous relevez et empoignez votre arme avec force.;[FromFrom.GetBestName] strikes, but you roll to dodge just in time, taking no more than a flesh wound. You force yourself back to your feet and hold your weapon ready.;[FromFrom.GetBestName] strikes, but you roll to dodge just in time, taking no more than a flesh wound. You force yourself back to your feet and hold your weapon ready.;;[FromFrom.GetBestName] strikes, but you roll to dodge just in time, taking no more than a flesh wound. You force yourself back to your feet and hold your weapon ready.;;;;;;;;x
EVTDESCDUEL111;You strike, but [FromFrom.GetBestName] rolls to the side, wounded but still very much alive. [FromFrom.GetSheHeCap] rises to [FromFrom.GetHerHis] feet and readies [FromFrom.GetHerHis] weapon once again.;Vous frappez, mais [FromFrom.GetBestName] roule sur le côté, blessé mais toujours bien vivant.  [FromFrom.GetSheHeCap] se remet sur ses jambes et empoigne à nouveau son arme.;You strike, but [FromFrom.GetBestName] rolls to the side, wounded but still very much alive. [FromFrom.GetSheHeCap] rises to [FromFrom.GetHerHis] feet and readies [FromFrom.GetHerHis] weapon once again.;You strike, but [FromFrom.GetBestName] rolls to the side, wounded but still very much alive. [FromFrom.GetSheHeCap] rises to [FromFrom.GetHerHis] feet and readies [FromFrom.GetHerHis] weapon once again.;;You strike, but [FromFrom.GetBestName] rolls to the side, wounded but still very much alive. [FromFrom.GetSheHeCap] rises to [FromFrom.GetHerHis] feet and readies [FromFrom.GetHerHis] weapon once again.;;;;;;;;x
