#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCfamily_relations.0;My family is important for me;Ma famille est importante pour moi;Meine Familie ist wichtig fьr mich;;My family is important for me;;;;;;;;;x
EVTOPTAfamily_relations.0;I should love my family;Je dois aimer ma famille;Ich muss liebe meine familie;;I should love my family;;;;;;;;;x
EVTDESCfamily_relations.1;There has been a marriage in my court.;There has been a marriage in my court.;There has been a marriage in my court.;;There has been a marriage in my court.;;;;;;;;;x
EVTOPTAfamily_relations.1;I wish them well.;I wish them well.;I wish them well.;;I wish them well.;;;;;;;;;x
EVTDESCfamily_relations.2;I get married and my family grows;I get married and my family grows;I get married and my family grows;;I get married and my family grows;;;;;;;;;x
EVTOPTAfamily_relations.2;I love my wife. My in-laws, not so much.;I love my wife. My in-laws, not so much.;I love my wife. My in-laws, not so much.;;I love my wife. My in-laws, not so much.;;;;;;;;;x
EVTOPTBfamily_relations.2;I love my husband. My in-laws, not so much.;I love my husband. My in-laws, not so much.;I love my husband. My in-laws, not so much.;;I love my husband. My in-laws, not so much.;;;;;;;;;x
EVTDESCfamily_relations.3;I get married and my family grows;I get married and my family grows;I get married and my family grows;;I get married and my family grows;;;;;;;;;x
EVTOPTAfamily_relations.3;I love my wife. My in-laws, not so much.;I love my wife. My in-laws, not so much.;I love my wife. My in-laws, not so much.;;I love my wife. My in-laws, not so much.;;;;;;;;;x
EVTOPTBfamily_relations.3;I love my husband. My in-laws, not so much.;I love my husband. My in-laws, not so much.;I love my husband. My in-laws, not so much.;;I love my husband. My in-laws, not so much.;;;;;;;;;x
opinion_father;My Father;Mon pиre;Mein Vater;;My Father;;;;;;;;;x
opinion_mother;My Mother;Ma mиre;Meine Mutter;;My Mother;;;;;;;;;x
opinion_sibling;My Sibling;Mon frиre/Ma soeur;Meine Geschwister;;My Sibling;;;;;;;;;x
opinion_brother;My Brother;Mon frère;My Brother;;My Brother;;;;;;;;;x
opinion_sister;My Sister;Ma sœur;My Sister;;My Sister;;;;;;;;;x
opinion_grandfather;My Grandfather;Mon grand-pиre;Mein Grossvater;;My Grandfather;;;;;;;;;x
opinion_grandmother;My Grandmother;Ma grand-mиre;Meine Grossmutter;;My Grandmother;;;;;;;;;x
opinion_child;My Child;Mon enfant;Mein Kind;;My Child;;;;;;;;;x
opinion_grandchild;My Grandchild;Mon petit-enfant;Mein Enkelkind;;My Grandchild;;;;;;;;;x
opinion_uncle;My Uncle;Mon oncle;Mein Onkel;;My Uncle;;;;;;;;;x
opinion_aunt;My Aunt;Ma tante;Meine Tante;;My Aunt;;;;;;;;;x
opinion_nephew;My Nephew;Mon neveu;Mein Neffe;;My Nephew;;;;;;;;;x
opinion_niece;My Niece;Ma niиce;Meine Nichte;;My Niece;;;;;;;;;x
opinion_cousin;My Cousin;Mon cousin;Mein Vetter;;My Cousin;;;;;;;;;x
opinion_husband;My Husband;My Husband;My Husband;;My Husband;;;;;;;;;x
opinion_wife;My Wife;My Wife;My Wife;;My Wife;;;;;;;;;x
opinion_father_in_law;My Father-in-Law;My Father-in-Law;My Father-in-Law;;My Father-in-Law;;;;;;;;;x
opinion_mother_in_law;My Mother-in-Law;My Mother-in-Law;My Mother-in-Law;;My Mother-in-Law;;;;;;;;;x
opinion_son_in_law;My Son-in-Law;My Son-in-Law;My Son-in-Law;;My Son-in-Law;;;;;;;;;x
opinion_daughter_in_law;My Daughter-in-Law;My Daughter-in-Law;My Daughter-in-Law;;My Daughter-in-Law;;;;;;;;;x
opinion_brother_in_law;My Brother-in-Law;My Brother-in-Law;My Brother-in-Law;;My Brother-in-Law;;;;;;;;;x
opinion_sister_in_law;My Sister-in-Law;My Sister-in-Law;My Sister-in-Law;;My Sister-in-Law;;;;;;;;;x
